The 100,5,74%,8.97,9,9,9.3,9,8.7,8.6,8.6,8.9,9,8.7,8.8,9.2,9.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlander,1,87%,8.91,8.6,8.8,8.9,8.9,9,9.3,9.1,9.1,8.7,8.7,9.4,8.8,8.7,8.6,9.1,8.8,,,,,,,,,,
Outlander,2,93%,8.98,9,8.6,8.6,8.8,8.9,9,9.5,8.5,8.8,9.1,9.2,9.1,9.6,,,,,,,,,,,,,
Outlander,3,96%,9.08,9.1,8.9,9.3,9.4,9.4,9.2,8.4,9.1,8.9,9,8.9,9.1,9.3,,,,,,,,,,,,,
Outlander,4,91%,9.04,8.8,8.8,9,9.2,9.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks and Recreation,1,100%,7.38,7.1,7.2,7.3,7.5,7.4,7.8,,,,,,,,,,,,,,,,,,,,
Parks and Recreation,2,100%,8.23,8.1,8.2,7.9,8.4,7.8,7.8,8.4,8.5,8,8.9,8,8.2,8.2,8.1,8.1,7.8,8.1,8.2,8.3,8.1,8.6,8.5,8.6,8.7,,
Parks and Recreation,3,95%,8.59,8.4,9.1,8.3,8.6,8.2,8.2,8.8,8.2,9.1,8.6,8.8,8.4,8.9,8.6,8.3,8.9,,,,,,,,,,
Parks and Recreation,4,100%,8.42,8.3,8.8,8.3,8.4,8,8.6,8.2,8.2,8.6,8.6,8.6,8.5,8.8,8.4,8.2,7.9,8.1,8.1,8.2,8.9,8.4,9.1,,,,
Parks and Recreation,5,100%,8.32,8.1,8.1,8.2,8.3,8.8,8,8,8,9,8.9,8.3,7.9,8.7,9.3,8.1,8.3,7.8,8.5,8.2,8.3,7.8,8.5,,,,
Parks and Recreation,6,88%,8.23,8.7,8.8,7.9,8.2,8,8.2,7.8,7.9,8.4,7.8,7.8,7.8,9,8.1,7.9,7.7,7.9,7.9,8.5,8.4,9,9.4,,,,
Parks and Recreation,7,67%,8.63,7.9,8.4,7.7,9.6,8.4,8.3,8.6,8.2,8.5,8.6,8.7,9.6,9.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaking Bad,1,100%,8.69,8.9,8.7,8.7,8.2,8.3,9.2,8.8,,,,,,,,,,,,,,,,,,,
Breaking Bad,2,100%,8.75,8.7,9.2,8.4,8.1,8.3,8.8,8.7,9,8.9,8.6,8.8,9.1,9.1,,,,,,,,,,,,,
Breaking Bad,3,100%,8.72,8.6,8.7,8.4,8.1,8.7,9.2,9.5,8.8,8.4,7.6,8.5,9.4,9.5,,,,,,,,,,,,,
Breaking Bad,4,100%,8.94,9.1,8.2,8,8.7,8.7,8.5,8.8,9.1,8.8,9.5,9.6,9.4,9.8,,,,,,,,,,,,,
Breaking Bad,5,82%,9.31,9.2,8.8,8.8,8.8,9.6,8.8,9.5,9.5,9.4,9,9.5,8.9,9.7,9.9,9.6,9.9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Cards,1,71%,8.55,8.7,8.7,8.4,8.3,8.5,8.6,8.2,7.8,8.6,8.8,9.1,8.6,8.9,,,,,,,,,,,,,
House of Cards,2,69%,8.82,9.6,8.5,8.6,9.1,8.4,8.4,8.5,8.7,9,8.4,8.8,9,9.6,,,,,,,,,,,,,
House of Cards,3,86%,8.59,8.2,8.5,8.7,8.4,8.3,9.2,8.3,8.3,8.5,8.3,9.1,8.9,9,,,,,,,,,,,,,
House of Cards,4,75%,8.78,8.1,8.3,9,9.4,8.6,8.7,8.6,8.3,8.9,9.4,8.5,8.9,9.5,,,,,,,,,,,,,
House of Cards,5,84%,8.4,8.4,8.2,8.2,8.7,8.1,8,8.5,8.2,8.1,8.5,8.5,9.2,8.6,,,,,,,,,,,,,
House of Cards,6,85%,4.26,4.6,4.5,4.5,4.5,4.7,4.4,4.1,2.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Is Us,1,94%,8.65,9,8.6,8.6,8.7,8.6,8.6,8.5,8.7,8.6,8.6,8.4,8.7,8.7,8.4,8.7,9,8.7,8.6,,,,,,,,
This Is Us,2,91%,8.52,8.7,8.5,8.5,8.3,8.1,8.2,8.7,8.7,8.6,8.5,8.9,8.5,9.1,9.5,8.9,7.7,7.2,8.7,,,,,,,,
This Is Us,3,91%,8.67,8.9,8.4,8.8,8.3,8.5,8.7,8.7,8.5,9.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex and the City,1,87%,7.42,7.3,7.3,7.4,7.5,7.3,7.4,7.3,7.4,7.4,7.5,7.7,7.5,,,,,,,,,,,,,,
Sex and the City,2,73%,7.53,7.7,7.3,7.6,7.7,7.1,7.4,7.4,7.8,7.1,7.5,7.3,7.8,7.4,7.3,7.6,7.5,7.9,8.1,,,,,,,,
Sex and the City,3,86%,7.53,7.6,7.6,7.5,7.3,7.3,7.6,7.3,7.4,7.5,7.4,7.8,8,7.3,7.3,7.9,7.3,7.6,7.8,,,,,,,,
Sex and the City,4,67%,7.45,7.6,8.1,7,7.1,7.2,7.1,7.3,7.8,7.1,7.4,7.6,7.6,7.7,7.6,7.3,7.4,7.2,8,,,,,,,,
Sex and the City,5,60%,7.39,7.3,7.3,7.5,7.3,7.4,7.4,7.3,7.6,,,,,,,,,,,,,,,,,,
Sex and the City,6,54%,7.54,7.4,7.3,7.2,7.3,7.5,7.5,7.8,7.7,7.6,7.4,7.5,7.8,7.1,7.6,7.2,7.4,7.1,7.6,8,8.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game of Thrones,1,93%,9.11,9,8.8,8.7,8.8,9.1,9.2,9.3,9.1,9.6,9.5,,,,,,,,,,,,,,,,
Game of Thrones,2,95%,9.03,8.9,8.6,8.9,8.9,8.9,9.1,9,8.9,9.7,9.4,,,,,,,,,,,,,,,,
Game of Thrones,3,95%,9.1,8.9,8.7,8.9,9.6,9,8.9,8.8,9.1,9.9,9.2,,,,,,,,,,,,,,,,
